Nazwa,Ogółem,Gmina,Powiat
Rolnictwo i łowiectwo,161490.0,118100.0,43390.0
Leśnictwo,850000.0,842473.0,7527.0
Transport i łączność,1727460647.0,1459637767.0,267822880.0
Turystyka,155000.0,155000.0,0.0
Gospodarka mieszkaniowa,230414484.0,188011579.0,42402905.0
Działalność usługowa,77934123.0,63452951.0,14481172.0
Administracja publiczna,546336338.0,480549277.0,65787061.0
"Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa",142850.0,142850.0,0.0
Obrona narodowa,496704.0,84000.0,412704.0
Bezpieczeństwo publiczne i ochrona przeciwpożarowa,158099945.0,83982040.0,74117905.0
Wymiar sprawiedliwości,2049000.0,0.0,2049000.0
Obsługa długu publicznego,390494008.0,390494008.0,0.0
Różne rozliczenia,187440868.0,210000.0,144160598.0
Oświata i wychowanie,2101149787.0,1450769307.0,650380480.0
Ochrona zdrowia,50043998.0,45940000.0,4103998.0
Pomoc społeczna,442185851.0,227501011.0,214684840.0
Pozostałe zadania w zakresie polityki społecznej,64902050.0,30346634.0,34555416.0
Edukacyjna opieka wychowawcza,185134287.0,11736120.0,173398167.0
Rodzina,281970474.0,236157131.0,45813343.0
Gospodarka komunalna i ochrona środowiska,793668454.0,792963454.0,705000.0
Kultura i ochrona dziedzictwa narodowego,364633398.0,332512468.0,32120930.0
Ogrody botaniczne i zoologiczne oraz naturalne obszary  i obiekty chronionej przyrody,21599024.0,21599024.0,0.0
Kultura fizyczna ,394990662.0,392689872.0,2300790.0
